latitude,longitude,floorSize,url,price
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
40.653957,-73.96155,410,https://www.zillow.com/homedetails/353-Ocean-Ave-APT-4F-Brooklyn-NY-11226/30665561_zpid/,"$399,000"
40.753036,-73.96717,879,https://www.zillow.com/homedetails/865-United-Nations-Plz-APT-11E-New-York-NY-10017/89332959_zpid/,"$975,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
40.7442,-73.9568,640,https://www.zillow.com/homedetails/4-74-48th-Ave-34-G-Long-Island-City-NY-11109/2077294636_zpid/,"$465,000"
40.7417,-73.9982,550,https://www.zillow.com/homedetails/210-W-19th-St-APT-5H-New-York-NY-10011/2091102836_zpid/,"$760,000"
40.762745,-73.77788,"1,536",https://www.zillow.com/homedetails/3922-208th-St-Flushing-NY-11361/32061821_zpid/,"$1,150,000"
40.88962,-73.91498,"1,500",https://www.zillow.com/homedetails/3850-Hudson-Manor-Ter-APT-3FW-Bronx-NY-10463/215957493_zpid/,"$469,000"
40.652927,-73.95564,772,https://www.zillow.com/homedetails/2107-Bedford-Ave-10C-Brooklyn-NY-11226/2077499122_zpid/,"$595,000"
40.63895,-73.95507,"1,650",https://www.zillow.com/homedetails/31-Stephens-Ct-Brooklyn-NY-11226/145589829_zpid/,"$1,349,000"
40.778316,-73.97942,700,https://www.zillow.com/homedetails/126-W-73rd-St-APT-1D-New-York-NY-10023/244779936_zpid/,"$648,000"
40.68235,-73.93008,"3,000",https://www.zillow.com/homedetails/418-Macdonough-St-Brooklyn-NY-11233/30605714_zpid/,"$2,100,000"
40.6778,-74.00147,700,https://www.zillow.com/homedetails/98-Luquer-St-4L-Brooklyn-NY-11231/119909809_zpid/,"$679,000"
